"Month","FOP","TP","NOx","NHx","TN","TSS","FecalColiform","TC","OSaturation","OConcentration","Sp.Conductivity","Elec.Conductivity","TDS","Salinity","pH","MonthNumber"
"Jan",47.2666666666667,121.8,362.666666666667,106.333333333333,946,0.666666666666667,5,10.5,87.6,9.7,341.4,246.7,221.65,0.16,6.38,1
"Feb",19.8666666666667,101.2,409.333333333333,62.3333333333333,612.666666666667,17,193.333333333333,10.6,132.2,14.73,163,117,106,0.08,7.29,2
"Apr",39.8666666666667,158.433333333333,317.666666666667,198.666666666667,1765.66666666667,5.33333333333333,25,15.9,44.6,4.31,278,236,181,0.13,7.88,4
"May",79.4,347.533333333333,524.666666666667,236.333333333333,3328.66666666667,14.3333333333333,60,22.9,31.8,2.73,305,293,198,0.14,7.83,5
"Jun",58,200.1,371.666666666667,107,1544.66666666667,10,136.666666666667,24.3,29.2,2.44,311,306,202,0.16,6.9,6
"Jul",39.0333333333333,171,203,83.6666666666667,786,11.6666666666667,153.333333333333,27.1,62.6,4.98,152,158.1,98.8,0.07,7.64,7
"Aug",21.5666666666667,116.566666666667,295.333333333333,55.3333333333333,1049.66666666667,8,3.33333333333333,25.8,107.2,8.72,211.2,214.6,137.15,0.1,7.14,8
"Sep",18.4,121.933333333333,235,28,881,8.33333333333333,26.6666666666667,24.6,83.8,6.98,225.6,223.8,146.9,0.11,7.18,9
"Oct",14.2,128.433333333333,249,93,1188.66666666667,20,0,20.4,148.7,13.4,233,213,151,0.11,7.42,10
"Nov",27.2333333333333,102.166666666667,324.666666666667,34.6666666666667,786.666666666667,4.66666666666667,5,14.2,64.2,6.58,279.8,222,182,0.13,7.44,11
"Dec",21.5,88.3333333333333,304,21,919.666666666667,7,35,9.4,146.9,16.83,216.1,151.6,140.4,0.1,7.18,12
